pig_number	Group	day	pen	room	experiment	tissue	treatment	Sow	birth_room	DOB	Sex	initial_weight	Necropsy.day	Pen	set
X1P1N1ACD4	1	X1P1N1ACD4	4	1A	1	X1	Colon	control	1208	1	1/29/2016	M	5.6	4	1A	D4_Colon_control
X1P1N1AFD0	1	X1P1N1AFD0	0	1A	1	X1	Feces	control	1208	1	1/29/2016	M	5.6	4	1A	D0_Feces_control
X1P1N1AFD4	1	X1P1N1AFD4	4	1A	1	X1	Feces	control	1208	1	1/29/2016	M	5.6	4	1A	D4_Feces_control
X1P1N1AID4	1	X1P1N1AID4	4	1A	1	X1	Ileum	control	1208	1	1/29/2016	M	5.6	4	1A	D4_Ileum_control
X1P2N1AFD0	2	X1P2N1AFD0	0	1A	1	X1	Feces	control	1211	2	1/30/2013	M	3	4	1A	D0_Feces_control
X1P2N1AFD4	2	X1P2N1AFD4	4	1A	1	X1	Feces	control	1211	2	1/30/2013	M	3	4	1A	D4_Feces_control
X1P2N1AID4	2	X1P2N1AID4	4	1A	1	X1	Ileum	control	1211	2	1/30/2013	M	3	4	1A	D4_Ileum_control
X1P3N1ACD4	3	X1P3N1ACD4	4	1A	1	X1	Colon	control	1207	2	1/28/2016	M	8.3	4	1A	D4_Colon_control
X1P3N1AFD4	3	X1P3N1AFD4	4	1A	1	X1	Feces	control	1207	2	1/28/2016	M	8.3	4	1A	D4_Feces_control
X1P3N1AID4	3	X1P3N1AID4	4	1A	1	X1	Ileum	control	1207	2	1/28/2016	M	8.3	4	1A	D4_Ileum_control
X1P4N1ACD4	4	X1P4N1ACD4	4	1A	1	X1	Colon	control	1212	3	1/31/2016	M	4.7	4	1A	D4_Colon_control
X1P4N1AFD0	4	X1P4N1AFD0	0	1A	1	X1	Feces	control	1212	3	1/31/2016	M	4.7	4	1A	D0_Feces_control
X1P4N1AFD4	4	X1P4N1AFD4	4	1A	1	X1	Feces	control	1212	3	1/31/2016	M	4.7	4	1A	D4_Feces_control
X1P4N1AID4	4	X1P4N1AID4	4	1A	1	X1	Ileum	control	1212	3	1/31/2016	M	4.7	4	1A	D4_Ileum_control
X1P5N1BCD14	5	X1P5N1BCD14	14	1B	1	X1	Colon	control	1209	3	1/30/2016	M	7.6	4	1B	D14_Colon_control
X1P5N1BFD0	5	X1P5N1BFD0	0	1B	1	X1	Feces	control	1209	3	1/30/2016	M	7.6	4	1B	D0_Feces_control
X1P5N1BFD11	5	X1P5N1BFD11	11	1B	1	X1	Feces	control	1209	3	1/30/2016	M	7.6	4	1B	D11_Feces_control
X1P5N1BFD14	5	X1P5N1BFD14	14	1B	1	X1	Feces	control	1209	3	1/30/2016	M	7.6	4	1B	D14_Feces_control
X1P5N1BFD4	5	X1P5N1BFD4	4	1B	1	X1	Feces	control	1209	3	1/30/2016	M	7.6	4	1B	D4_Feces_control
X1P5N1BFD7	5	X1P5N1BFD7	7	1B	1	X1	Feces	control	1209	3	1/30/2016	M	7.6	4	1B	D7_Feces_control
X1P5N1BID14	5	X1P5N1BID14	14	1B	1	X1	Ileum	control	1209	3	1/30/2016	M	7.6	4	1B	D14_Ileum_control
X1P6N1BFD0	6	X1P6N1BFD0	0	1B	1	X1	Feces	control	1215	4	1/27/2016	F	4.3	4	1B	D0_Feces_control
X1P6N1BFD4	6	X1P6N1BFD4	4	1B	1	X1	Feces	control	1215	4	1/27/2016	F	4.3	4	1B	D4_Feces_control
X1P6N1BID4	6	X1P6N1BID4	4	1B	1	X1	Ileum	control	1215	4	1/27/2016	F	4.3	4	1B	D4_Ileum_control
X1P7N1BCD4	7	X1P7N1BCD4	4	1B	1	X1	Colon	control	1214	4	1/30/2016	F	3.4	4	1B	D4_Colon_control
X1P7N1BFD4	7	X1P7N1BFD4	4	1B	1	X1	Feces	control	1214	4	1/30/2016	F	3.4	4	1B	D4_Feces_control
X1P7N1BID4	7	X1P7N1BID4	4	1B	1	X1	Ileum	control	1214	4	1/30/2016	F	3.4	4	1B	D4_Ileum_control
X1P8N2ACD4	8	X1P8N2ACD4	4	2A	2	X1	Colon	inject	1210	5	1/27/2016	M	5.8	4	2A	D4_Colon_inject
X1P8N2AFD0	8	X1P8N2AFD0	0	2A	2	X1	Feces	inject	1210	5	1/27/2016	M	5.8	4	2A	D0_Feces_inject
X1P8N2AFD4	8	X1P8N2AFD4	4	2A	2	X1	Feces	inject	1210	5	1/27/2016	M	5.8	4	2A	D4_Feces_inject
X1P8N2AID4	8	X1P8N2AID4	4	2A	2	X1	Ileum	inject	1210	5	1/27/2016	M	5.8	4	2A	D4_Ileum_inject
X1P9N2ACD4	9	X1P9N2ACD4	4	2A	2	X1	Colon	inject	1213	5	1/29/2016	F	5	4	2A	D4_Colon_inject
X1P9N2AFD4	9	X1P9N2AFD4	4	2A	2	X1	Feces	inject	1213	5	1/29/2016	F	5	4	2A	D4_Feces_inject
X1P9N2AID4	9	X1P9N2AID4	4	2A	2	X1	Ileum	inject	1213	5	1/29/2016	F	5	4	2A	D4_Ileum_inject
X1P10N2AFD0	10	X1P10N2AFD0	0	2A	2	X1	Feces	inject	1208	1	1/29/2016	M	2.7	4	2A	D0_Feces_inject
X1P10N2AFD4	10	X1P10N2AFD4	4	2A	2	X1	Feces	inject	1208	1	1/29/2016	M	2.7	4	2A	D4_Feces_inject
X1P10N2AID4	10	X1P10N2AID4	4	2A	2	X1	Ileum	inject	1208	1	1/29/2016	M	2.7	4	2A	D4_Ileum_inject
X1P11N2ACD4	11	X1P11N2ACD4	4	2A	2	X1	Colon	inject	1211	2	1/30/2013	F	4.6	4	2A	D4_Colon_inject
X1P11N2AFD4	11	X1P11N2AFD4	4	2A	2	X1	Feces	inject	1211	2	1/30/2013	F	4.6	4	2A	D4_Feces_inject
X1P11N2AID4	11	X1P11N2AID4	4	2A	2	X1	Ileum	inject	1211	2	1/30/2013	F	4.6	4	2A	D4_Ileum_inject
X1P12N2BCD4	12	X1P12N2BCD4	4	2B	2	X1	Colon	inject	1207	2	1/28/2016	F	7.8	4	2B	D4_Colon_inject
X1P12N2BFD0	12	X1P12N2BFD0	0	2B	2	X1	Feces	inject	1207	2	1/28/2016	F	7.8	4	2B	D0_Feces_inject
X1P12N2BFD4	12	X1P12N2BFD4	4	2B	2	X1	Feces	inject	1207	2	1/28/2016	F	7.8	4	2B	D4_Feces_inject
X1P12N2BID4	12	X1P12N2BID4	4	2B	2	X1	Ileum	inject	1207	2	1/28/2016	F	7.8	4	2B	D4_Ileum_inject
X1P13N2BCD4	13	X1P13N2BCD4	4	2B	2	X1	Colon	inject	1212	3	1/31/2016	F	5	4	2B	D4_Colon_inject
X1P13N2BFD0	13	X1P13N2BFD0	0	2B	2	X1	Feces	inject	1212	3	1/31/2016	F	5	4	2B	D0_Feces_inject
X1P13N2BFD4	13	X1P13N2BFD4	4	2B	2	X1	Feces	inject	1212	3	1/31/2016	F	5	4	2B	D4_Feces_inject
X1P13N2BID4	13	X1P13N2BID4	4	2B	2	X1	Ileum	inject	1212	3	1/31/2016	F	5	4	2B	D4_Ileum_inject
X1P14N2BCD4	14	X1P14N2BCD4	4	2B	2	X1	Colon	inject	1209	3	1/30/2016	F	4.3	4	2B	D4_Colon_inject
X1P14N2BFD0	14	X1P14N2BFD0	0	2B	2	X1	Feces	inject	1209	3	1/30/2016	F	4.3	4	2B	D0_Feces_inject
X1P14N2BFD4	14	X1P14N2BFD4	4	2B	2	X1	Feces	inject	1209	3	1/30/2016	F	4.3	4	2B	D4_Feces_inject
X1P14N2BID4	14	X1P14N2BID4	4	2B	2	X1	Ileum	inject	1209	3	1/30/2016	F	4.3	4	2B	D4_Ileum_inject
X1P15N3ACD4	15	X1P15N3ACD4	4	3A	3	X1	Colon	oral	1215	4	1/27/2016	F	6.1	4	3A	D4_Colon_oral
X1P15N3AFD0	15	X1P15N3AFD0	0	3A	3	X1	Feces	oral	1215	4	1/27/2016	F	6.1	4	3A	D0_Feces_oral
X1P15N3AFD4	15	X1P15N3AFD4	4	3A	3	X1	Feces	oral	1215	4	1/27/2016	F	6.1	4	3A	D4_Feces_oral
X1P15N3AID4	15	X1P15N3AID4	4	3A	3	X1	Ileum	oral	1215	4	1/27/2016	F	6.1	4	3A	D4_Ileum_oral
X1P16N3ACD4	16	X1P16N3ACD4	4	3A	3	X1	Colon	oral	1214	4	1/30/2016	F	3.2	4	3A	D4_Colon_oral
X1P16N3AFD0	16	X1P16N3AFD0	0	3A	3	X1	Feces	oral	1214	4	1/30/2016	F	3.2	4	3A	D0_Feces_oral
X1P16N3AFD4	16	X1P16N3AFD4	4	3A	3	X1	Feces	oral	1214	4	1/30/2016	F	3.2	4	3A	D4_Feces_oral
X1P16N3AID4	16	X1P16N3AID4	4	3A	3	X1	Ileum	oral	1214	4	1/30/2016	F	3.2	4	3A	D4_Ileum_oral
X1P17N3ACD4	17	X1P17N3ACD4	4	3A	3	X1	Colon	oral	1210	5	1/27/2016	M	3.4	4	3A	D4_Colon_oral
